Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U18,NCR321PASX,NCR321PASX,104.01762,-168.482729,11.25,top
U19,NCR321PASX,NCR321PASX,113.545475,-165.592486,22.5,top
U2,NCR321PASX,NCR321PASX,84.200346,-68.854561,-168.75,top
U20,NCR321PASX,NCR321PASX,122.326395,-160.898987,33.75,top
U21,NCR321PASX,NCR321PASX,130.022936,-154.582598,45.0,top
U22,NCR321PASX,NCR321PASX,136.339325,-146.886057,56.25,top
U23,NCR321PASX,NCR321PASX,141.032824,-138.105137,67.5,top
U24,NCR321PASX,NCR321PASX,143.923067,-128.577282,78.75,top
U25,NCR321PASX,NCR321PASX,144.898983,-118.668645,90.0,top
U26,NCR321PASX,NCR321PASX,143.923067,-108.760008,101.25,top
U27,NCR321PASX,NCR321PASX,141.032824,-99.232153,112.5,top
U28,NCR321PASX,NCR321PASX,136.339325,-90.451233,123.75,top
U29,NCR321PASX,NCR321PASX,130.022936,-82.754692,135.0,top
U3,NCR321PASX,NCR321PASX,74.672491,-71.744804,-157.5,top
U30,NCR321PASX,NCR321PASX,122.326395,-76.438303,146.25,top
U31,NCR321PASX,NCR321PASX,113.545475,-71.744804,157.5,top
U32,NCR321PASX,NCR321PASX,104.01762,-68.854561,168.75,top
U33,"PCA9685BS,118",QFN65P600X600X100-29N-D,86.0,-52.85,0.0,top
U34,"PCA9685BS,118",QFN65P600X600X100-29N-D,97.75,-52.85,0.0,top
U36,TPS62177DQC,WSON-10-1EP_2x3mm_P0.5mm_EP0.84x2.4mm_ThermalVias,69.975,-60.825,0.0,top
U37,CP2102N-A02-GQFN20R,CP2102NA02GQFN20,114.172501,-55.4025,180.0,top
U38,W25X40CLUXIG_TR,PSON50P300X200X60-9N,107.55,-59.1375,-90.0,top
U4,NCR321PASX,NCR321PASX,65.891571,-76.438303,-146.25,top
U5,NCR321PASX,NCR321PASX,58.19503,-82.754692,-135.0,top
U6,NCR321PASX,NCR321PASX,51.878641,-90.451233,-123.75,top
U7,NCR321PASX,NCR321PASX,47.185142,-99.232153,-112.5,top
U8,NCR321PASX,NCR321PASX,44.294899,-108.760008,-101.25,top
U9,NCR321PASX,NCR321PASX,43.318983,-118.668645,-90.0,top
Y1,32.768kHz,FC135327680KAAG0,108.345,-41.055,0.0,top
Y2,24MHz,TSX-3225,107.6,-51.15,-135.0,top
